account_authenticity,bidding_score,transaction_score,delivery_score,fraud_reports,risk_level
1.0,0.85,0.75,0.9,0,Low
1.0,0.9,0.85,0.85,0,Low
0.9,0.7,0.6,0.75,0,Low
1.0,0.65,0.7,0.8,0,Low
1.0,0.5,0.85,0.7,0,Low
0.95,0.7,0.8,0.85,0,Low
1.0,0.8,0.6,0.7,0,Low
0.9,0.6,0.75,0.65,0,Low
1.0,0.75,0.8,0.7,0,Low
0.8,0.5,0.7,0.6,0,Medium
0.9,0.6,0.65,0.55,0,Medium
1.0,0.6,0.7,0.7,0,Medium
0.85,0.55,0.6,0.65,0,Medium
0.7,0.4,0.5,0.55,0,Medium
0.6,0.5,0.6,0.6,0,Medium
0.7,0.6,0.7,0.6,0,Medium
0.5,0.4,0.5,0.5,1,High
0.3,0.2,0.3,0.25,1,High
0.4,0.3,0.35,0.3,1,High
0.2,0.1,0.2,0.2,1,High
0.3,0.2,0.15,0.2,1,High
0.25,0.15,0.2,0.3,1,High
0.1,0.2,0.25,0.15,1,High
0.2,0.1,0.2,0.25,1,High
0.4,0.3,0.25,0.3,1,High
0.5,0.4,0.3,0.35,1,High
1.0,0.9,0.8,0.9,0,Low
0.95,0.85,0.75,0.85,0,Low
0.9,0.7,0.7,0.8,0,Low
0.85,0.65,0.6,0.75,0,Medium
0.8,0.6,0.55,0.7,0,Medium
0.75,0.55,0.5,0.65,0,Medium
0.7,0.5,0.45,0.6,0,Medium
0.65,0.45,0.4,0.55,0,Medium
0.6,0.4,0.35,0.5,1,High
0.55,0.35,0.3,0.45,1,High
0.5,0.3,0.25,0.4,1,High
0.45,0.25,0.2,0.35,1,High
0.4,0.2,0.15,0.3,1,High
0.35,0.15,0.1,0.25,1,High
0.3,0.1,0.05,0.2,1,High
0.25,0.05,0.0,0.15,1,High
1.0,0.95,0.9,0.95,0,Low
0.98,0.92,0.88,0.93,0,Low
0.96,0.9,0.85,0.9,0,Low
0.94,0.85,0.8,0.88,0,Medium
0.9,0.8,0.75,0.85,0,Medium
0.85,0.75,0.7,0.8,0,Medium
0.8,0.7,0.65,0.75,1,Medium
0.75,0.65,0.6,0.7,1,High
0.7,0.6,0.55,0.65,1,High
0.65,0.55,0.5,0.6,1,High
0.6,0.5,0.45,0.55,1,High
0.55,0.45,0.4,0.5,2,High
0.5,0.4,0.35,0.45,2,High
0.45,0.35,0.3,0.4,3,High
0.4,0.3,0.25,0.35,3,High
0.35,0.25,0.2,0.3,4,High
0.9,0.88,0.82,0.87,0,Medium
0.88,0.86,0.8,0.85,0,Medium
0.85,0.83,0.78,0.82,1,Medium
0.83,0.8,0.75,0.8,1,Medium
0.8,0.78,0.7,0.77,1,High
0.78,0.75,0.68,0.75,2,High
0.75,0.72,0.65,0.7,2,High
0.7,0.68,0.6,0.65,3,High
0.65,0.62,0.55,0.6,3,High
0.6,0.58,0.5,0.55,4,High
0.55,0.53,0.45,0.5,4,High
0.5,0.48,0.4,0.45,5,High
0.95,0.9,0.88,0.9,0,Low
0.92,0.89,0.85,0.88,0,Low
0.9,0.87,0.83,0.86,0,Low
0.88,0.85,0.8,0.84,0,Medium
0.85,0.82,0.78,0.82,1,Medium
0.83,0.8,0.75,0.8,1,Medium
0.8,0.78,0.7,0.77,1,Medium
0.78,0.75,0.68,0.75,2,High
0.75,0.72,0.65,0.7,2,High
0.7,0.68,0.6,0.65,3,High
0.65,0.62,0.55,0.6,3,High
0.6,0.58,0.5,0.55,4,High
0.55,0.53,0.45,0.5,4,High
0.5,0.48,0.4,0.45,5,High
0.96,0.91,0.89,0.92,0,Low
0.94,0.9,0.87,0.9,0,Low
0.91,0.88,0.85,0.87,0,Low
0.89,0.86,0.82,0.85,1,Medium
0.86,0.83,0.8,0.83,1,Medium
0.84,0.81,0.77,0.8,1,Medium
0.81,0.79,0.73,0.78,2,High
0.77,0.75,0.7,0.74,2,High
0.73,0.7,0.66,0.7,3,High
0.68,0.65,0.6,0.65,3,High
0.63,0.6,0.55,0.6,4,High
0.58,0.55,0.5,0.55,4,High
0.53,0.5,0.45,0.5,5,High
0.48,0.45,0.4,0.45,6,High
0.98,0.95,0.94,0.96,0,Low
0.97,0.94,0.93,0.95,0,Low
0.96,0.93,0.92,0.94,0,Low
0.95,0.92,0.91,0.93,0,Low
0.94,0.91,0.9,0.92,0,Low
0.93,0.9,0.89,0.91,0,Low
0.92,0.89,0.88,0.9,0,Low
0.91,0.88,0.87,0.89,0,Low
0.90,0.87,0.86,0.88,0,Low
0.89,0.86,0.85,0.87,0,Low
0.85,0.82,0.8,0.83,1,Medium
0.84,0.81,0.79,0.82,1,Medium
0.83,0.8,0.78,0.81,1,Medium
0.82,0.79,0.77,0.8,1,Medium
0.81,0.78,0.76,0.79,1,Medium
0.80,0.77,0.75,0.78,1,Medium
0.79,0.76,0.74,0.77,1,Medium
0.78,0.75,0.73,0.76,1,Medium
0.77,0.74,0.72,0.75,1,Medium
0.76,0.73,0.71,0.74,1,Medium
0.72,0.7,0.68,0.7,2,High
0.71,0.69,0.67,0.69,2,High
0.70,0.68,0.66,0.68,2,High
0.69,0.67,0.65,0.67,2,High
0.68,0.66,0.64,0.66,2,High
0.67,0.65,0.63,0.65,3,High
0.66,0.64,0.62,0.64,3,High
0.65,0.63,0.61,0.63,3,High
0.64,0.62,0.6,0.62,3,High
0.63,0.61,0.59,0.61,3,High
0.60,0.58,0.56,0.58,4,High
0.59,0.57,0.55,0.57,4,High
0.58,0.56,0.54,0.56,4,High
0.57,0.55,0.53,0.55,4,High
0.56,0.54,0.52,0.54,4,High
0.55,0.53,0.51,0.53,5,High
0.54,0.52,0.5,0.52,5,High
0.53,0.51,0.49,0.51,5,High
0.52,0.5,0.48,0.5,5,High
0.51,0.49,0.47,0.49,5,High
0.50,0.48,0.46,0.48,6,High
0.49,0.47,0.45,0.47,6,High
0.48,0.46,0.44,0.46,6,High
0.47,0.45,0.43,0.45,6,High
0.46,0.44,0.42,0.44,6,High
0.99,0.96,0.95,0.97,0,Low
0.98,0.95,0.94,0.96,0,Low
0.97,0.94,0.93,0.95,0,Low
0.96,0.93,0.92,0.94,0,Low
0.95,0.92,0.91,0.93,0,Low
0.94,0.91,0.9,0.92,0,Low
0.93,0.9,0.89,0.91,0,Low
0.92,0.89,0.88,0.9,0,Low
0.91,0.88,0.87,0.89,0,Low
0.90,0.87,0.86,0.88,0,Low
0.86,0.83,0.81,0.84,1,Medium
0.85,0.82,0.8,0.83,1,Medium
0.84,0.81,0.79,0.82,1,Medium
0.83,0.8,0.78,0.81,1,Medium
0.82,0.79,0.77,0.8,1,Medium
0.81,0.78,0.76,0.79,1,Medium
0.80,0.77,0.75,0.78,1,Medium
0.79,0.76,0.74,0.77,1,Medium
0.78,0.75,0.73,0.76,1,Medium
0.77,0.74,0.72,0.75,1,Medium
0.73,0.7,0.67,0.71,2,High
0.72,0.69,0.66,0.7,2,High
0.71,0.68,0.65,0.69,2,High
0.70,0.67,0.64,0.68,2,High
0.69,0.66,0.63,0.67,2,High
0.68,0.65,0.62,0.66,3,High
0.67,0.64,0.61,0.65,3,High
0.66,0.63,0.6,0.64,3,High
0.65,0.62,0.59,0.63,3,High
0.64,0.61,0.58,0.62,3,High
0.61,0.58,0.55,0.59,4,High
0.60,0.57,0.54,0.58,4,High
0.59,0.56,0.53,0.57,4,High
0.58,0.55,0.52,0.56,4,High
0.57,0.54,0.51,0.55,4,High
0.56,0.53,0.5,0.54,5,High
0.55,0.52,0.49,0.53,5,High
0.54,0.51,0.48,0.52,5,High
0.53,0.5,0.47,0.51,5,High
0.52,0.49,0.46,0.5,5,High
0.49,0.46,0.43,0.47,6,High
0.48,0.45,0.42,0.46,6,High
0.47,0.44,0.41,0.45,6,High
0.46,0.43,0.4,0.44,6,High
0.45,0.42,0.39,0.43,6,High
0.88,0.85,0.83,0.87,0,Low
0.87,0.84,0.82,0.86,0,Low
0.86,0.83,0.81,0.85,0,Low
0.85,0.82,0.8,0.84,0,Low
0.84,0.81,0.79,0.83,0,Low
0.83,0.8,0.78,0.82,0,Low
0.82,0.79,0.77,0.81,0,Low
0.81,0.78,0.76,0.8,0,Low
0.80,0.77,0.75,0.79,0,Low
0.79,0.76,0.74,0.78,0,Low
0.75,0.72,0.69,0.74,1,Medium
0.74,0.71,0.68,0.73,1,Medium
0.73,0.7,0.67,0.72,1,Medium
0.72,0.69,0.66,0.71,1,Medium
0.71,0.68,0.65,0.7,1,Medium
0.70,0.67,0.64,0.69,1,Medium
0.69,0.66,0.63,0.68,1,Medium
0.68,0.65,0.62,0.67,1,Medium
0.67,0.64,0.61,0.66,1,Medium
0.66,0.63,0.6,0.65,1,Medium
0.62,0.59,0.56,0.61,3,High
0.61,0.58,0.55,0.6,3,High
0.60,0.57,0.54,0.59,3,High
0.59,0.56,0.53,0.58,3,High
0.58,0.55,0.52,0.57,3,High
0.57,0.54,0.51,0.56,4,High
0.56,0.53,0.5,0.55,4,High
0.55,0.52,0.49,0.54,4,High
0.54,0.51,0.48,0.53,4,High
0.53,0.5,0.47,0.52,4,High
0.50,0.47,0.44,0.49,5,High
0.49,0.46,0.43,0.48,5,High
0.48,0.45,0.42,0.47,5,High
0.47,0.44,0.41,0.46,5,High
0.46,0.43,0.4,0.45,5,High
0.45,0.42,0.39,0.44,6,High
0.44,0.41,0.38,0.43,6,High
0.43,0.4,0.37,0.42,6,High
0.42,0.39,0.36,0.41,6,High
0.41,0.38,0.35,0.4,6,High
0.38,0.35,0.32,0.37,7,High
0.37,0.34,0.31,0.36,7,High
0.36,0.33,0.3,0.35,7,High
0.35,0.32,0.29,0.34,7,High
0.34,0.31,0.28,0.33,7,High
0.83,0.81,0.79,0.82,0,Low
0.82,0.8,0.78,0.81,0,Low
0.81,0.79,0.77,0.8,0,Low
0.80,0.78,0.76,0.79,0,Low
0.79,0.77,0.75,0.78,0,Low
0.78,0.76,0.74,0.77,0,Low
0.77,0.75,0.73,0.76,0,Low
0.76,0.74,0.72,0.75,0,Low
0.75,0.73,0.71,0.74,0,Low
0.74,0.72,0.7,0.73,0,Low
0.70,0.68,0.66,0.69,1,Medium
0.69,0.67,0.65,0.68,1,Medium
0.68,0.66,0.64,0.67,1,Medium
0.67,0.65,0.63,0.66,1,Medium
0.66,0.64,0.62,0.65,1,Medium
0.65,0.63,0.61,0.64,1,Medium
0.64,0.62,0.6,0.63,1,Medium
0.63,0.61,0.59,0.62,1,Medium
0.62,0.6,0.58,0.61,1,Medium
0.61,0.59,0.57,0.6,1,Medium
0.57,0.55,0.53,0.56,3,High
0.56,0.54,0.52,0.55,3,High
0.55,0.53,0.51,0.54,3,High
0.54,0.52,0.5,0.53,3,High
0.53,0.51,0.49,0.52,3,High
0.52,0.5,0.48,0.51,4,High
0.51,0.49,0.47,0.5,4,High
0.50,0.48,0.46,0.49,4,High
0.49,0.47,0.45,0.48,4,High
0.48,0.46,0.44,0.47,4,High
0.45,0.43,0.41,0.44,5,High
0.44,0.42,0.4,0.43,5,High
0.43,0.41,0.39,0.42,5,High
0.42,0.4,0.38,0.41,5,High
0.41,0.39,0.37,0.4,5,High
0.40,0.38,0.36,0.39,6,High
0.39,0.37,0.35,0.38,6,High
0.38,0.36,0.34,0.37,6,High
0.37,0.35,0.33,0.36,6,High
0.36,0.34,0.32,0.35,6,High
0.33,0.31,0.29,0.32,7,High
0.32,0.3,0.28,0.31,7,High
0.31,0.29,0.27,0.3,7,High
0.30,0.28,0.26,0.29,7,High
0.29,0.27,0.25,0.28,7,High
0.85,0.83,0.81,0.84,0,Low
0.84,0.82,0.8,0.83,0,Low
0.83,0.81,0.79,0.82,0,Low
0.82,0.8,0.78,0.81,0,Low
0.81,0.79,0.77,0.8,0,Low
0.80,0.78,0.76,0.79,0,Low
0.79,0.77,0.75,0.78,0,Low
0.78,0.76,0.74,0.77,0,Low
0.77,0.75,0.73,0.76,0,Low
0.76,0.74,0.72,0.75,0,Low
0.72,0.7,0.68,0.71,1,Medium
0.71,0.69,0.67,0.7,1,Medium
0.70,0.68,0.66,0.69,1,Medium
0.69,0.67,0.65,0.68,1,Medium
0.68,0.66,0.64,0.67,1,Medium
0.67,0.65,0.63,0.66,1,Medium
0.66,0.64,0.62,0.65,1,Medium
0.65,0.63,0.61,0.64,1,Medium
0.64,0.62,0.6,0.63,1,Medium
0.63,0.61,0.59,0.62,1,Medium
0.58,0.56,0.54,0.57,3,High
0.57,0.55,0.53,0.56,3,High
0.56,0.54,0.52,0.55,3,High
0.55,0.53,0.51,0.54,3,High
0.54,0.52,0.5,0.53,3,High
0.53,0.51,0.49,0.52,4,High
0.52,0.5,0.48,0.51,4,High
0.51,0.49,0.47,0.5,4,High
0.50,0.48,0.46,0.49,4,High
0.49,0.47,0.45,0.48,4,High
0.46,0.44,0.42,0.45,5,High
0.45,0.43,0.41,0.44,5,High
0.44,0.42,0.4,0.43,5,High
0.43,0.41,0.39,0.42,5,High
0.42,0.4,0.38,0.41,5,High
0.41,0.39,0.37,0.4,6,High
0.40,0.38,0.36,0.39,6,High
0.39,0.37,0.35,0.38,6,High
0.38,0.36,0.34,0.37,6,High
0.37,0.35,0.33,0.36,6,High
0.34,0.32,0.3,0.33,7,High
0.33,0.31,0.29,0.32,7,High
0.32,0.3,0.28,0.31,7,High
0.31,0.29,0.27,0.3,7,High
0.30,0.28,0.26,0.29,7,High
0.29,0.27,0.25,0.28,7,High
0.28,0.26,0.24,0.27,7,High
0.27,0.25,0.23,0.26,7,High
0.26,0.24,0.22,0.25,7,High
0.25,0.23,0.21,0.24,7,High
0.24,0.22,0.2,0.23,8,High
0.23,0.21,0.19,0.22,8,High
0.22,0.2,0.18,0.21,8,High
0.21,0.19,0.17,0.2,8,High
0.20,0.18,0.16,0.19,8,High
0.19,0.17,0.15,0.18,8,High
0.18,0.16,0.14,0.17,8,High
0.17,0.15,0.13,0.16,8,High
0.16,0.14,0.12,0.15,8,High
0.15,0.13,0.11,0.14,8,High
0.14,0.12,0.1,0.13,9,High
0.13,0.11,0.09,0.12,9,High
0.12,0.10,0.08,0.11,9,High
0.11,0.09,0.07,0.10,9,High
0.10,0.08,0.06,0.09,9,High
0.09,0.07,0.05,0.08,9,High
0.08,0.06,0.04,0.07,9,High
0.07,0.05,0.03,0.06,9,High
0.06,0.04,0.02,0.05,9,High
0.05,0.03,0.01,0.04,10,High
0.95,0.92,0.90,0.91,0,Low
0.94,0.91,0.89,0.90,0,Low
0.93,0.90,0.88,0.89,0,Low
0.92,0.89,0.87,0.88,0,Low
0.91,0.88,0.86,0.87,0,Low
0.90,0.87,0.85,0.86,0,Low
0.89,0.86,0.84,0.85,0,Low
0.88,0.85,0.83,0.84,0,Low
0.87,0.84,0.82,0.83,0,Low
0.86,0.83,0.81,0.82,0,Low
0.75,0.73,0.71,0.74,1,Medium
0.74,0.72,0.7,0.73,1,Medium
0.73,0.71,0.69,0.72,1,Medium
0.72,0.7,0.68,0.71,1,Medium
0.71,0.69,0.67,0.7,1,Medium
0.70,0.68,0.66,0.69,1,Medium
0.69,0.67,0.65,0.68,1,Medium
0.68,0.66,0.64,0.67,1,Medium
0.67,0.65,0.63,0.66,1,Medium
0.66,0.64,0.62,0.65,1,Medium
0.64,0.62,0.60,0.63,2,Medium
0.63,0.61,0.59,0.62,2,Medium
0.62,0.60,0.58,0.61,2,Medium
0.61,0.59,0.57,0.60,2,Medium
0.60,0.58,0.56,0.59,2,Medium
0.59,0.57,0.55,0.58,2,Medium
0.58,0.56,0.54,0.57,2,Medium
0.57,0.55,0.53,0.56,2,Medium
0.56,0.54,0.52,0.55,2,Medium
0.55,0.53,0.51,0.54,2,Medium
0.54,0.52,0.50,0.53,3,Medium
0.53,0.51,0.49,0.52,3,Medium
0.52,0.50,0.48,0.51,3,Medium
0.51,0.49,0.47,0.50,3,Medium
0.50,0.48,0.46,0.49,3,Medium
0.49,0.47,0.45,0.48,3,Medium
0.48,0.46,0.44,0.47,3,Medium
0.47,0.45,0.43,0.46,3,Medium
0.46,0.44,0.42,0.45,3,Medium
0.45,0.43,0.41,0.44,3,Medium
0.44,0.42,0.40,0.43,4,Medium
0.43,0.41,0.39,0.42,4,Medium
0.42,0.40,0.38,0.41,4,Medium
0.41,0.39,0.37,0.40,4,Medium
0.40,0.38,0.36,0.39,4,Medium
0.39,0.37,0.35,0.38,4,Medium
0.38,0.36,0.34,0.37,4,Medium
0.37,0.35,0.33,0.36,4,Medium
0.36,0.34,0.32,0.35,4,Medium
0.35,0.33,0.31,0.34,4,Medium
0.34,0.32,0.30,0.33,5,Medium
0.33,0.31,0.29,0.32,5,Medium
0.32,0.30,0.28,0.31,5,Medium
0.31,0.29,0.27,0.30,5,Medium
0.30,0.28,0.26,0.29,5,Medium
0.29,0.27,0.25,0.28,5,Medium
0.28,0.26,0.24,0.27,5,Medium
0.27,0.25,0.23,0.26,5,Medium
0.26,0.24,0.22,0.25,5,Medium
0.25,0.23,0.21,0.24,5,Medium
0.24,0.22,0.20,0.23,6,High
0.23,0.21,0.19,0.22,6,High