account_authenticity,bidding_score,transaction_score,delivery_score,fraud_reports,risk_level
1,0.9,0.8,0.95,0,Low
1,0.8,0.9,0.85,0,Low
1,0.7,0.6,0.8,0,Low
1,0.6,0.7,0.75,0,Low
1,0.5,0.9,0.8,0,Low
1,0.7,0.9,0.9,0,Low
1,0.8,0.7,0.8,0,Low
1,0.9,0.9,0.7,0,Low
1,0.7,0.8,0.7,0,Low
1,0.8,0.6,0.6,0,Low
0.9,0.6,0.5,0.4,0,Low
1,0.7,0.8,0.8,0,Low
0.8,0.6,0.6,0.5,0,Low
1,0.9,0.7,0.9,0,Low
1,0.7,0.8,0.7,0,Low
0.8,0.8,0.9,0.6,0,Low
0.9,0.9,0.8,0.8,0,Low
1,0.7,0.9,0.8,0,Low
1,0.8,0.7,0.6,0,Low
1,0.6,0.5,0.6,0,Medium
0.7,0.5,0.6,0.6,0,Medium
1,0.7,0.7,0.7,0,Medium
1,0.6,0.5,0.7,0,Medium
1,0.7,0.6,0.6,0,Medium
1,0.6,0.5,0.5,0,Medium
1,0.6,0.7,0.8,0,Medium
1,0.5,0.9,0.8,0,Medium
1,0.5,0.8,0.7,0,Medium
1,0.7,1,0.7,0,Medium
1,0.5,0.9,0.6,0,Medium
1,0.6,0.8,0.6,0,Medium
1,0.6,0.7,0.7,0,Medium
1,0.6,0.8,0.6,0,Medium
1,0.5,0.7,0.6,0,Medium
1,0.6,0.8,0.7,0,Medium
1,0.7,0.9,0.8,0,Medium
1,0.5,0.8,0.6,0,Medium
1,0.6,0.7,0.7,0,Medium
0.2,0.3,0.2,0.3,1,High
0.1,0.2,0.3,0.4,1,High
0.3,0.1,0.2,0.3,1,High
0.2,0.1,0.1,0.3,1,High
0.3,0.2,0.1,0.2,1,High
0.2,0.2,0.3,0.4,1,High
0.1,0.1,0.1,0.2,1,High
0.3,0.2,0.3,0.2,1,High
0.1,0.2,0.3,0.3,1,High
0.2,0.1,0.2,0.3,1,High
0.1,0.2,0.1,0.3,1,High
0.2,0.2,0.3,0.3,1,High
0.3,0.3,0.3,0.3,1,High
0.2,0.3,0.2,0.2,1,High
0.3,0.3,0.3,0.3,1,High
0.2,0.3,0.2,0.4,1,High
0.1,0.3,0.3,0.4,1,High
0.2,0.3,0.3,0.5,1,High
0.1,0.3,0.3,0.2,1,High
0.2,0.1,0.3,0.4,1,High
0.4,0,0.2,0.1,0,High
0.6,0.5,0.9,0.2,0,Medium
1,0.3,0.7,0,0,Medium
1,0.5,1,0,0,Medium
0.4,0,0.2,0.1,0,High
0.6,0.5,0.9,0.2,0,Medium
1,0.7,1,0.4,0,Medium
0.4,0,0,0,0,High
0.4,0,0,0,0,High
0.4,0,0.2,0.1,0,High
1,0.7,1,0.4,0,Medium
0.6,0.5,1,0.4,0,Medium
1,0.7,1,0.4,0,Medium
1,0.9,0.7,0.8,0,Low
1,0.8,0.9,0.7,0,Low
1,0.7,0.8,0.9,0,Low
1,0.6,0.9,0.7,0,Low
1,0.5,0.7,0.8,0,Low
1,0.8,0.8,0.9,0,Low
1,0.7,0.7,0.7,0,Low
1,0.9,0.9,0.6,0,Low
1,0.6,0.8,0.6,0,Low
1,0.5,0.6,0.7,0,Low
0.9,0.5,0.6,0.6,0,Low
1,0.7,0.7,0.8,0,Low
0.8,0.6,0.7,0.8,0,Low
1,0.8,0.9,0.9,0,Low
1,0.7,0.8,0.7,0,Low
0.7,0.7,0.9,0.8,0,Low
0.8,0.8,0.8,0.7,0,Low
1,0.7,0.6,0.8,0,Low
1,0.6,0.7,0.7,0,Medium
0.7,0.6,0.7,0.8,0,Medium
1,0.6,0.8,0.9,0,Medium
1,0.7,0.6,0.6,0,Medium
1,0.5,0.7,0.8,0,Medium
1,0.6,0.9,0.7,0,Medium
1,0.7,0.7,0.8,0,Medium
1,0.8,0.6,0.9,0,Medium
1,0.6,0.5,0.7,0,Medium
0.8,0.7,0.9,0.6,0,Medium
1,0.5,0.8,0.7,0,Medium
1,0.7,0.6,0.7,0,Medium
1,0.6,0.7,0.8,0,Medium
1,0.7,0.9,0.6,0,Medium
1,0.6,0.5,0.8,0,Medium
1,0.5,0.9,0.8,0,Medium
1,0.6,0.8,0.7,0,Medium
0.2,0.3,0.3,0.3,1,High
0.1,0.4,0.2,0.2,1,High
0.3,0.2,0.3,0.4,1,High
0.2,0.1,0.2,0.3,1,High
0.3,0.3,0.1,0.2,1,High
0.2,0.2,0.3,0.3,1,High
0.1,0.2,0.2,0.4,1,High
0.3,0.3,0.3,0.3,1,High
0.1,0.3,0.2,0.3,1,High
0.2,0.3,0.3,0.4,1,High
0.1,0.1,0.1,0.3,1,High
0.3,0.1,0.3,0.2,1,High
0.1,0.3,0.3,0.2,1,High
0.2,0.2,0.2,0.5,1,High
0.3,0.3,0.1,0.3,1,High
0.2,0.3,0.2,0.4,1,High
0.1,0.2,0.3,0.2,1,High
0.2,0.4,0.3,0.4,1,High
0.1,0.2,0.3,0.5,1,High
0.3,0.3,0.2,0.3,1,High
0.4,0.1,0.3,0.2,1,High
0.6,0.5,0.7,0.4,0,Medium
0.5,0.6,0.8,0.3,0,Medium
1,0.5,0.7,0.3,0,Medium
0.4,0.7,0.9,0.3,0,Medium
0.6,0.5,0.8,0.4,0,Medium
1,0.7,0.9,0.5,0,Medium
0.5,0.6,0.7,0.4,0,Medium
0.4,0.5,0.8,0.3,0,Medium
1,0.6,0.9,0.5,0,Medium
1,0.9,0.8,0.9,0,Low
1,0.8,0.7,0.8,0,Low
1,0.7,0.9,0.8,0,Low
1,0.6,0.7,0.7,0,Low
1,0.5,0.6,0.6,0,Low
1,0.7,0.8,0.9,0,Low
1,0.8,0.9,0.7,0,Low
1,0.9,0.7,0.8,0,Low
1,0.7,0.8,0.8,0,Low
1,0.6,0.6,0.7,0,Low
0.9,0.5,0.7,0.6,0,Low
1,0.8,0.9,0.6,0,Low
0.8,0.6,0.7,0.7,0,Low
1,0.9,0.8,0.9,0,Low
1,0.7,0.7,0.9,0,Low
0.7,0.8,0.8,0.8,0,Low
0.9,0.7,0.9,0.7,0,Low
1,0.6,0.6,0.8,0,Low
1,0.7,0.6,0.6,0,Medium
0.6,0.5,0.7,0.7,0,Medium
1,0.6,0.8,0.9,0,Medium
1,0.8,0.7,0.7,0,Medium
1,0.7,0.6,0.8,0,Medium
1,0.5,0.7,0.6,0,Medium
1,0.6,0.8,0.8,0,Medium
1,0.7,0.8,0.7,0,Medium
1,0.5,0.9,0.7,0,Medium
1,0.8,0.6,0.6,0,Medium
0.7,0.6,0.8,0.6,0,Medium
1,0.5,0.6,0.9,0,Medium
1,0.6,0.7,0.7,0,Medium
1,0.6,0.8,0.6,0,Medium
1,0.7,0.9,0.7,0,Medium
1,0.6,0.7,0.8,0,Medium
1,0.5,0.8,0.7,0,Medium
0.2,0.3,0.4,0.3,1,High
0.3,0.2,0.3,0.2,1,High
0.1,0.2,0.4,0.3,1,High
0.2,0.1,0.3,0.3,1,High
0.3,0.3,0.2,0.3,1,High
0.1,0.3,0.2,0.4,1,High
0.3,0.2,0.3,0.2,1,High
0.1,0.3,0.2,0.5,1,High
0.2,0.2,0.3,0.3,1,High
0.3,0.1,0.3,0.2,1,High
0.1,0.2,0.1,0.3,1,High
0.2,0.3,0.2,0.4,1,High
0.3,0.3,0.3,0.3,1,High
0.2,0.3,0.4,0.4,1,High
0.1,0.4,0.2,0.5,1,High
0.3,0.2,0.3,0.4,1,High
0.2,0.3,0.3,0.3,1,High
0.4,0.3,0.2,0.2,1,High
0.5,0.2,0.3,0.3,1,High
0.6,0.4,0.3,0.2,1,High
0.5,0.5,0.4,0.2,1,High
0.6,0.4,0.3,0.1,1,High
1,0.4,0.7,0.5,0,Medium
0.4,0.7,0.8,0.3,0,Medium
0.7,0.5,0.8,0.4,0,Medium
0.6,0.6,0.9,0.5,0,Medium
1,0.7,0.8,0.6,0,Medium
0.6,0.5,0.9,0.3,0,Medium
1,0.7,0.7,0.4,0,Medium
0.5,0.6,0.8,0.5,0,Medium
1,0.9,0.7,0.8,0,Low
1,0.8,0.6,0.9,0,Low
1,0.7,0.8,0.7,0,Low
1,0.6,0.9,0.7,0,Low
1,0.5,0.7,0.6,0,Low
1,0.7,0.8,0.9,0,Low
1,0.8,0.9,0.6,0,Low
1,0.9,0.7,0.8,0,Low
1,0.8,0.7,0.7,0,Low
1,0.6,0.8,0.9,0,Low
0.9,0.7,0.6,0.8,0,Low
1,0.8,0.9,0.7,0,Low
0.8,0.6,0.8,0.7,0,Low
1,0.9,0.8,0.9,0,Low
1,0.7,0.7,0.8,0,Low
0.7,0.8,0.9,0.6,0,Low
0.9,0.8,0.7,0.8,0,Low
1,0.6,0.7,0.9,0,Low
1,0.7,0.6,0.7,0,Medium
0.6,0.8,0.7,0.7,0,Medium
1,0.6,0.7,0.8,0,Medium
1,0.8,0.9,0.7,0,Medium
1,0.7,0.8,0.9,0,Medium
1,0.6,0.5,0.6,0,Medium
1,0.7,0.6,0.9,0,Medium
1,0.5,0.8,0.7,0,Medium
1,0.6,0.9,0.8,0,Medium
1,0.7,0.8,0.6,0,Medium
1,0.5,0.9,0.8,0,Medium
0.7,0.8,0.7,0.6,0,Medium
1,0.6,0.8,0.9,0,Medium
1,0.7,0.7,0.7,0,Medium
1,0.6,0.5,0.8,0,Medium
1,0.7,0.6,0.7,0,Medium
1,0.5,0.7,0.8,0,Medium
1,0.6,0.8,0.6,0,Medium
0.2,0.4,0.3,0.3,1,High
0.1,0.3,0.2,0.4,1,High
0.3,0.2,0.3,0.3,1,High
0.2,0.1,0.3,0.2,1,High
0.3,0.2,0.2,0.4,1,High
0.2,0.3,0.2,0.3,1,High
0.3,0.3,0.4,0.2,1,High
0.2,0.3,0.3,0.3,1,High
0.1,0.4,0.3,0.2,1,High
0.3,0.2,0.3,0.4,1,High
0.1,0.3,0.2,0.3,1,High
0.2,0.4,0.3,0.3,1,High
0.3,0.3,0.3,0.5,1,High
0.4,0.3,0.3,0.3,1,High
0.3,0.3,0.4,0.4,1,High
0.5,0.2,0.2,0.4,1,High
0.2,0.2,0.3,0.3,1,High
0.4,0.3,0.2,0.5,1,High
0.3,0.3,0.3,0.3,1,High
0.2,0.5,0.4,0.2,1,High
0.1,0.4,0.3,0.5,1,High
0.6,0.4,0.3,0.4,1,High
0.5,0.6,0.2,0.3,1,High
1,0.5,0.7,0.5,0,Medium
0.6,0.7,0.8,0.6,0,Medium
0.5,0.8,0.9,0.7,0,Medium
0.6,0.5,0.9,0.6,0,Medium
1,0.7,0.6,0.8,0,Medium
0.7,0.8,0.6,0.7,0,Medium
1,0.6,0.5,0.9,0,Medium
0.5,0.7,0.8,0.5,0,Medium
1,0.8,0.7,0.9,0,Low
1,0.7,0.6,0.8,0,Low
1,0.8,0.9,0.7,0,Low
1,0.7,0.8,0.6,0,Low
1,0.9,0.7,0.8,0,Low
1,0.6,0.8,0.9,0,Low
0.9,0.7,0.7,0.8,0,Low
0.8,0.9,0.6,0.7,0,Low
1,0.7,0.8,0.9,0,Low
1,0.9,0.8,0.6,0,Low
1,0.8,0.7,0.7,0,Low
0.8,0.6,0.9,0.7,0,Low
1,0.7,0.9,0.8,0,Low
1,0.8,0.8,0.7,0,Low
1,0.9,0.7,0.9,0,Low
1,0.7,0.7,0.8,0,Low
0.8,0.6,0.7,0.9,0,Low
1,0.8,0.6,0.6,0,Low
1,0.7,0.8,0.8,0,Medium
1,0.6,0.7,0.7,0,Medium
1,0.7,0.6,0.8,0,Medium
0.8,0.9,0.7,0.7,0,Medium
1,0.6,0.9,0.6,0,Medium
0.9,0.8,0.7,0.8,0,Medium
1,0.7,0.8,0.9,0,Medium
1,0.8,0.7,0.6,0,Medium
0.6,0.7,0.8,0.6,0,Medium
1,0.7,0.6,0.9,0,Medium
1,0.8,0.9,0.7,0,Medium
0.7,0.8,0.8,0.7,0,Medium
1,0.6,0.9,0.8,0,Medium
1,0.7,0.9,0.7,0,Medium
0.8,0.6,0.7,0.6,0,Medium
1,0.7,0.8,0.6,0,Medium
1,0.8,0.6,0.9,0,Medium
0.7,0.7,0.9,0.8,0,Medium
1,0.5,0.7,0.8,0,High
0.6,0.3,0.2,0.4,1,High
0.3,0.4,0.3,0.2,1,High
0.5,0.2,0.3,0.5,1,High
0.6,0.4,0.2,0.3,1,High
0.2,0.5,0.4,0.3,1,High
0.3,0.2,0.4,0.4,1,High
0.5,0.3,0.2,0.3,1,High
0.4,0.3,0.5,0.4,1,High
0.2,0.4,0.3,0.5,1,High
0.3,0.2,0.4,0.2,1,High
0.5,0.4,0.5,0.3,1,High
0.4,0.5,0.2,0.4,1,High
0.3,0.3,0.3,0.4,1,High
0.2,0.4,0.5,0.3,1,High
0.4,0.2,0.3,0.2,1,High
0.5,0.3,0.4,0.3,1,High
0.4,0.4,0.3,0.5,1,High
0.3,0.4,0.5,0.2,1,High
1,0.8,1,1,0,Low
1,0.8,1,1,0,Low
0.4,0,0.2,0,0,High
1,0.8,1,1,0,Low
1,0.8,1,0.3,0,Low
1,0.8,1,1,0,Low
1,0.8,1,1,0,Low
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
4,6,7,8,1,Low
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0,0,0,0,0,High
0,0,0,0,0,High
0.6,0.6,1,1,0,Medium
0.6,0.8,1,1,0,Low
0.6,0.4,1,0.3,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.4,0.3,0.3,0,0,High
0.4,0.3,0.3,0,0,High
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
0.6,0.6,1,1,0,Medium
